,question,result
4795,Which one is better among FIT-Boral and NIT-Agarpara?,()
4796,"Do I have any chance to get admission? I have scored in class 10th: 85%, 12th: 80%, BE: 6.37 CGPA and CAT 92.1 percentile.","('EXAM-scores-direct-opinion',)"
4797,Which is better for B.Sc IT between Uttaranchal University and Graphic Era university?,()
4798,i have cleared the jee mains with 83(OBC) marks and get 66% in 12th cbse board can i take admissin in DIT university,()
4799,I scored 61% in 12th and wish to become an engineer. Will my 12th score be of any problem to get into IITs?,"('EXAM-scores-direct-opinion',)"
4800,I have completed BBA graduation (marketing &amp; finance). Currently working in sales with one of the leading financial services since one year. want to study distance PG. Request you to recommend one of the best institute/university for PG. As well advise me other opportunities in apart from sales.,()
4801,how get prepare for it,"('EXAM-preparation-direct-opinion', 'EXAM-scores-indirect-opinion', 'LISTING-GDPI-indirect-opinion')"
4802,I scored 74 marks in jee mains and got 93.2 % in cbse class 12 this year. what should i do.? should i opt for coaching institute or college,()
4803,Is it a good choice for a girl to pursue B.Tech in instrumentation engineering from COEP?,"('LISTING-review-indirect-opinion',)"
4804,"Which is best for PGDM or MBA in marketing in terms of placements: VIT Business School vs ITM, Navi Mumbai?",()
4805,When will the GD-PI be held for shortlisted candidates?,"('EXAM-GDPI-direct-opinion', 'LISTING-GDPI-direct-opinion')"
4806,What is the cut-off for CET in Welinkar and what is the fee structure?,"('LISTING-Cut off-direct-opinion',)"
4807,"Which college is better in terms of placements VIT, Vellore or PSGIM? I am selected in both the colleges.","('COMPARISON-College comparison-indirect-opinion',)"
4808,"I have done correspondence Btech from acharya nagarjuna university and having 5 years of work  experience,will i eligible for executive Mba?","('LISTING-eligibility-direct-factual', 'LISTING-eligibility-direct-opinion')"
4809,"Which course should I pursue among electrical, automobile and electronics to pursue aircraft engineering?",()
4810,when are registration forms for admission in BTECH session starting from 2013 available and whats the last date for submitting them?,"('EXAM-dates-direct-factual',)"
4811,Which college is better for PGDM among IMS Ghaziabad and Apeejay Dwarka?,"('COMPARISON-College comparison-indirect-factual',)"
4812,"Which college is better for B.Tech among G. L. Bajaj, PSIT-Kanpur and KIET in terms of placement record?",()
4813,Which is a better college among Amity University and SRM?,"('COMPARISON-College comparison-indirect-factual',)"
4814,What is the eligibility criteria to apply for NATA exam?,()
4815,Which is better in terms of placement for CSE among IIIT and Galgotia?,()
4816,Which course should I choose among MBBS and forestry?,"('COMPARISON-course comp-indirect-opinion',)"
4817,if i have got compartment in one subject ie math and i cleared that paper will i be eligible for clat the next year,()
4818,What is the application fees to apply in this college?,"('LISTING-Fees-direct-opinion',)"
4819,I have scored 91.29 percentile in MAT exam. Can I get admission in this college?,()
4820,Does LLIM accept GRE score? For MBA,"('EXAM-scores-direct-opinion',)"
4821,What is the difference between PGDM and PGP? What should I do further: PGP or PGDM?,()
4822,I have score 59% in class 12th and 31 marks in JEE. Which college should I prefer for ECE?,()
4823,"It is possible to get in the best B-Schools without CAT, CMAT and MAT?","('EXAM-scores-direct-opinion',)"
4824,How is Caleton University and University of Ottawa for Masters in mechanical? What is the application deadline for fall 2017?,()
4825,hello sir i have completed my higher secondary in the year 2001 and their after i quit the studies but last year i have completed my hardware n networking course from jetking and now i m working in a reputed company but because of i have not done my graduation i m not getting a good job though im working . but its not satisfactory and of my level can u sugget me that should i do BCA in a part time and from which institute should i go for .so that it helps me in my future to grab a good job.plz suggest me asap,()
4826,Can you tell me about the entrance exam for Bachelor of mass media in Mumbai?,()
4827,Where I can find the study center in Coimbatore?,()
4828,"Sir, I am Vikram and i want to do/start some studies in the field of management and bussiness, my basic education is 10+2 from CBSE completed in 1991 and earned diploma in mechanical engineering (03 years of course) from Indian navy. I have 15 years of working expreience in mechanical and marine field, now i am left with only 30 months before retirement. Could you please advise me about the further studies with mentioned eligibility and also which field i should opt for career/job post retirement. I also want to know about SAP and can i do that, if not what is the criteria and procedure.",()
4829,WHAT IS CUT OFF,"('EXAM-cut off-direct-opinion', 'LISTING-Cut off-direct-factual', 'LISTING-Cut off-direct-opinion')"
4830,How is LPU for B.Tech placements?,"('LISTING-placements-direct-opinion',)"
4831,Which is the best option to pursue a PG course from Canada among construction management and supply &amp; chain management?,()
4832,i have finished M.Sc in this year. I like to choose journalism as my profession. is there any distance course to do in one year . Will it be,"('COMPARISON-course comp-indirect-opinion',)"
4833,Does CAT exam makes me eligible for the SIBM Pune?What is the Cut off for Open category?,()
4834,Which branch of engineering is the best in DTU?,"('COMPARISON-course comp-indirect-opinion',)"
4835,how i can apply online,()
4836,What is the total fee per annum to study construction management in singapore ?,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
4837,Which of these is better: BE in CSE from CMR Institute of Technology (CMRIT) or BE in CSE from NMIT?,()
4838,What is the procedure to get admission in BBA?,"('LISTING-Admissions-direct-factual',)"
4839,What is the fee structure for MBA if I come through PGCET?,()
4840,HOW MANY SCORE HAVE IN12th TOGIVE ADMISSON ?,"('EXAM-scores-direct-opinion',)"
4841,Cain I join NIEM after completing class 12th? What is the eligibility criteria to get admission in the same?,()
4842,"hi friends,i am ravikiran studying 2nd year intermediate.is it a wise option to choose b tech bio informatics?will there be a bright future&amp;what wii be the salaries for them?will the softwarecompanies choose them?what are the best colleges to do b tech? but i love doing research in that branch.as i`m a bi.p.c student can i succeed in that branch(with maths)?","('COMPARISON-course comp-indirect-opinion',)"
4843,is thereany entrance exam if yesthen whats the date,"('EXAM-dates-direct-factual', 'EXAM-dates-direct-opinion', 'LISTING-Entrance exam-direct-opinion')"
4844,Is there any chance to get into any nit i got 90marks in mains nd 97% in board nd i belong to obc category,()
4845,Is there a chance for MBA day? I have 67 percentile in CAT (general category) and work experience of 20 months.,"('LISTING-Admissions-direct-opinion',)"
4846,What is the average and highest package offered here during placements? Does this institute provide 100% placements?,"('LISTING-placements-direct-factual', 'LISTING-placements-direct-opinion')"
4847,How many students stay in 1 room at the hostel? Will the roommates be of the same institute and course?,()
4848,Where can I get the admission form for SSN engineering college,()
4849,Which engineering branch can I get with 2923 rank in UPESSET?,"('LISTING-Admissions-indirect-opinion',)"
4850,What will be the best option for my career among Masters in Journalism and Mass Communication or MBA in HR?,"('COMPARISON-course comp-indirect-opinion',)"
4851,"Hiiii i have got 72% in 10th, 52% in 12th , 62% in TYBSc-IT &amp; i want to do Master of Science in IT i.e.(MS-IT) from USA, is it possible or not pls tell me &amp; with this percentage of (10th,12th &amp; 15th) am i eligible to take admission in USA or not?",()
4852,When will MAT 2017 be conducted? How many times is it conducted in a year? I want to take admission in 2018.,()
4853,hi.. I'm a physiotherapist and will be completing my internship by the end of this month. I am seeking admission for MBA in healthcare.could you please guide me how to go about..,()
4854,Which courses can I pursue to become a singer after class 12th? What is the eligibility criteria for the same?,()
4855,"I have done BCA, now i'm working in MNC. I want to do M.Sc in any stream and then want to do Mtech. Please refer me any university from where i can do my study till M.Tech and please also suggest me the correct stream. I preferred correspondence  and distance learning or e-learning courses?",()
4856,"What is the Notification date for the M.Tech. in Environmental Management in JNTU, Hyderabad?","('EXAM-dates-direct-factual',)"
4857,What was the last year's cut-off for veterinary course in government colleges in MP?,"('LISTING-Cut off-direct-opinion',)"
4858,How is the college for mechanical based on placements and packages per annum?,"('LISTING-placements-direct-opinion',)"
4859,Hi. i have done My BBA after which I did MBA in HR. I want to do career counselling course. please advice how can I enroll for the course?,()
4860,Is it a good choice to pursue engineering from LPU?,"('LISTING-review-indirect-opinion',)"
4861,"How is DY Patil Medical College, Mumbai?",()
4862,is it AICTE approved and affiliated to puna university,"('LISTING-Affiliation-direct-factual', 'LISTING-Affiliation-indirect-factual')"
4863,Can I get free seat in the best college if I get a good cut-off ranking in JEE advanced?,()
4864,"Which one should I prefer among IMT, Ghaziabad or IMI, Delhi for PGDM? I am planning to apply at either of these.",()
4865,"when should i apply for NS Foundation scholorship ,whether  after  or before applying for a particular university ?and let me know the deadline for the application for the universities of germeny.    thanking you",()
4866,what was the last yearrr placement,"('LISTING-placements-direct-factual', 'LISTING-placements-direct-opinion')"
4867,Is it possible to get a job after completing MBA without clearing any management exams?,()
4868,ON WHAT DATE THE P.HD EXAM CONDUCT IN A YEAR,()
4869,Is there AC in hostel room or should I try for some other PG?,"('LISTING-hostel-direct-opinion',)"
4870,Is it worth it to join IIT - Delhi for textile engineering?,()
4871,"How much do I need to score in CAT to get admission? I have got 81% in 10th, 64% in 12th and 72%in graduation.","('EXAM-scores-direct-opinion',)"
4872,"sir, want to know about last date of filling up application form for b.ed course 2013-2014","('EXAM-dates-direct-factual', 'EXAM-dates-direct-opinion')"
4873,What are my chances of getting admission in this college with 517.5 composite score in MAT?,"('EXAM-scores-direct-opinion', 'LISTING-Admissions-direct-opinion')"
4874,Am I eligible to get admission in Diploma in pharmacy after completing HSC with 75% marks?,"('LISTING-eligibility-direct-factual',)"
4875,Is it worth to pursue SAP FICO?,"('COMPARISON-College comparison-direct-opinion', 'EXAM-coaching -indirect-opinion')"
4876,When does the Admissions start for doing MTA and What are the procedures and Requirements?What is the eligibility criteria for doing MTA?What is the Fees Structure?,()
4877,Which course is better CMA or CIMA ?,"('COMPARISON-course comp-indirect-opinion',)"
4878,Which engineering branch is better among computer science and civil?,"('COMPARISON-course comp-indirect-opinion',)"
4879,How would you rate Alliance-Bangalore for MBA? Can I get admission on my MAT score of 585?,"('EXAM-scores-direct-opinion',)"
4880,Which is the best college to pursue MBA in finance course JIMS or FIIB?,()
4881,what are the marks required in jee mains for admission?,"('EXAM-cut off-indirect-factual', 'LISTING-Cut off-indirect-opinion')"
4882,have all the dates of submission for mat and other entrance dates passed if no tan wats the last date,"('EXAM-dates-direct-factual', 'EXAM-dates-direct-opinion')"
4883,Can I get admission without writing any entrance exam? I have completed B.Com with 66%.,()
4884,Am I eligible to take admission in all colleges accepting CAT scores if I fill the CAT exam form? Should I apply for colleges separately?,()
4885,What is the minimum package offered in MBA placements?,"('LISTING-placements-direct-factual', 'LISTING-placements-direct-opinion', 'LISTING-placements-indirect-factual')"
4886,Will I be eligible to pursue UG in automotive engineering if I get good grades in 12 improvement exam?,()
4887,When will NCHMCT 2017 result be declared?,()
4888,I currently study under the Central Board of Secondary Education (CBSE - India) in Class 11 (1st year of 10+2). Are there any opportunities for getting a scholarship for admission in the University of Cambridge after my 10+2? And i would like to pursue Aeronautical Engineering.,()
4889,What is the cost of online JEE mains exam form?,()
4890,I am getting 60 score in jee main and i belong from sc .and getting 75% in cbse exam . can i get SVNIT ?,()
4891,Which is engineering branch better: civil engineering or mechanical engineering,"('COMPARISON-course comp-indirect-opinion',)"
4892,Can I get admission? I have scored 600 marks and 72 percentile in MAT with 1 year of experience. My GD/PI was good.,()
4893,HOW IS TO PREPARE FOR IAS EXAM,"('EXAM-preparation-direct-opinion',)"
4894,what are the various certification couses  for first year mba students,()
4895,"What is the Average, highest and lowest package of your college","('LISTING-placements-indirect-factual',)"
4896,"I want to join St. Xaviers, Mumbai for B.Sc in biotechnology. What is the cutoff score required for the same?","('EXAM-scores-direct-opinion',)"
4897,What is the basic criteria for general students to get selected in Neet Phase 2? I am also selected in AMU MBBS tier 1.,()
4898,"Hello,For doing masters in canada, which exams we can give, either TOEFL or IELTS.GRE is compulasory?",()
4899,Does Amity University provide hotel management course?,"('LISTING-placements-direct-factual',)"
4900,please tell me the add. for coaching instutes in ghaziabad along with fee structure.  TUSHAR SHARMA,"('EXAM-coaching -direct-opinion',)"
4901,How can I pursue a Diploma in child counselling?,"('EXAM-counseling-direct-factual', 'LISTING-Counselling-direct-factual', 'LISTING-Counselling-direct-opinion')"
4902,"Which college is better for MBA and PGDM among JIMS, Rohini and Delhi School of Business, VIPS?","('COMPARISON-College comparison-indirect-factual',)"
4903,"Which is better for B.Tech: YMCA Uni, Faridabad or Chitkara University?","('COMPARISON-College comparison-indirect-factual',)"
4904,How is the finance program? What is the average and highest package offered for finance?,"('LISTING-placements-indirect-factual',)"
4905,What are the salary prospects after completing engineering from IITs?,()
4906,What is the eligibility criteria to pursue MBA in Jamia Millia Islamia? When is the last date to submit the application form?,()
4907,"If I prepare only class 12th topics thoroughly, will I be able to crack JEE Mains 2018?",()
4908,whats the fees for filmmaking,"('LISTING-Fees-direct-opinion',)"
4909,What is the syllabus &amp; exam pattern of the CEED?,"('EXAM-syllabus-direct-factual', 'EXAM-syllabus-direct-opinion')"
4910,Is it a good decision to drop a year after completing class 12th for the preparation of JEE Mains exam?,()
4911,What is the cut-off for finance specialisation?,"('LISTING-Cut off-direct-factual', 'LISTING-Cut off-direct-opinion')"
4912,"Hindustan University, Vel Tech Univeristy or Karunaya University, which one is better for pursuing BTech in CSE?",()
4913,I have 521 composite score in MAT. Can you suggest some good colleges to pursue MBA for me?,"('EXAM-scores-direct-opinion',)"
4914,What should I take among hospitality and aviation?,()
4915,What is the admission process for CSE? I have scored 98.1% in class 12th from AP board.,()
4916,Can I get admission in IIIT-Hyderabad after completing Diploma course? Which entrance exam do I need to take in order to pursue B.Tech?,()
4917,dear sir/mam -   actually i want to do  (PGDEMS) .so can u tell me the date    when the batch start  and what is the procedure.,()
4918,Can you suggest the best books for IIT preparation?,"('EXAM-preparation-direct-opinion',)"
4919,Can a student appear for JEE Mains exam if he has opted for a Diploma course after completing class 10th?,"('EXAM-eligibility-indirect-opinion',)"
4920,Is there any cap round for B.Sc in animation?,()
4921,fees how many,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
4922,hii have just cleared +2 exams with commerce streami want to go for NIIT GNIIT Software Engineeringi want to know what is its scope and i want to know the reviews about itplz help me soon,()
4923,give me the notification details for m.tech/m.e. entrance exam in vit........frm bharath . anantapur,()
4924,what is the total fees for B.A english hons in amity noida ? total fees for all 3 years (6 semesters) ?,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
4925,Is it worth to pursue mechanical engineering from JECRC college?,()
4926,Am I eligible to get admission in this college? I am final year student of BBA(H) and have 54 percentile in February MAT exam.,"('LISTING-eligibility-direct-factual',)"
4927,Should I go for B.Ed. or MA? What is the difference between NET and B.Ed.?,()
4928,"Which are the best institutes offering preparation for class 12 boards and engineering exams such as IIT JEE, AIEEE, etc. ?",()
4929,"Which engineering branch is better: ECE, MEC or CSE?","('COMPARISON-course comp-indirect-opinion',)"
4930,When can I appear for my MBA entrance test? Should I start preparing for my MBA entrance?,()
4931,into which institutes can we get admission through a good gate score other than iits?,"('EXAM-scores-direct-opinion',)"
4932,Are there good placements for the students of Bachelors in Biomedical Science?,"('LISTING-placements-direct-opinion',)"
4933,mgm provides girls hostel..?,"('LISTING-hostel-direct-opinion',)"
4934,How are the placement records in BITS Pilani? Do we get stipend in practice school? I have 2yrs of work exp in IT industry.,"('COMPARISON-College comparison-direct-opinion', 'LISTING-Fees-direct-opinion')"
4935,is it approved by aietec,"('LISTING-Affiliation-indirect-factual',)"
4936,Which is the best coaching institute for IAS preparation in Allahabad?,"('EXAM-GDPI-direct-opinion', 'EXAM-coaching -direct-opinion')"
4937,What kind of questions are expected in GD-PI? Can you share your experience?,"('LISTING-GDPI-direct-opinion', 'LISTING-GDPI-indirect-opinion')"
4938,Will I get an exam center which I filled as the first preference in JEE Mains application form?,()
4939,"What is the last date of admission at IFIM, Bangalore? When will the classes for the same begin?","('EXAM-dates-direct-factual', 'EXAM-dates-direct-opinion')"
4940,how to many samaster fees,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
4941,Does the institute offer any hostel facilities?,"('LISTING-Fees-indirect-factual', 'LISTING-hostel-direct-factual', 'LISTING-hostel-direct-opinion')"
4942,"What is the eligibility criteria for getting admission in IIM,Kozhikode?",()
4943,What are the course fees?,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
4944,Which coaching institute is the best to prepare for SAT exam?,"('EXAM-coaching -direct-opinion',)"
4945,Is it necessary to join coaching classes for CAT preparation?,"('EXAM-GDPI-direct-opinion', 'EXAM-coaching -direct-opinion')"
4946,What is cutoff for CAT?,"('EXAM-cut off-direct-opinion',)"
4947,"when will b e the next mat,cat,gmat,gate exams",()
4948,what is the course fees of bba,"('LISTING-Fees-direct-opinion',)"
4949,When will the results of NIFT entrance exam be declared?,"('LISTING-Entrance exam-direct-opinion',)"
4950,How is Jyothishmathi Institute of Technology and Science for B.Tech in EEE?,"('COMPARISON-College comparison-indirect-opinion',)"
4951,"Can I get computer science in NIT, Kurukshetra with a general rank of 9544 in JEE Mains 2017?",()
4952,Do we have different cut off  for finance. I am interested in banking and finance. I am currently studying in the first year of BBA program.,()
4953,Can I get the details of JEE Mains?,()
4954,what is the scope of doing it through correspondance?,()
4955,Is the fees refundable?,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
4956,what is the all india rank ??,"('LISTING-ranking-direct-factual', 'LISTING-ranking-direct-opinion')"
4957,"Which graduation course among B.Tech, BBA and BCA should I pursue to do MBA in future? I have completed my 12 from science stream.",()
4958,Which is the best government college in Gurgaon? Is there any chance to get admission in a government college? I have scored 66%.,()
4959,Which are the good universities for engineering in Canada?,()
4960,"Which is better, University of Salford or University of Glamorgan for MS in Aeronautical Engineering?","('COMPARISON-College comparison-indirect-factual',)"
4961,"Do KIAMS, Pune provides 100 percent placement? Can I get the information about their placement percentages of last 3 years?",()
4962,How are the placements in vocational courses? Should I opt for retail management or travel and tourism?,"('LISTING-placements-direct-opinion',)"
4963,Can i get a call from IIM after completing my CAT with 90 and above?My profile 10th-91% 12th-94% and B.tech IT-84% .,()
4964,"i've appeared for CET and going to appear  for GDPI(CET), what type of questions are been asked....?","('LISTING-GDPI-indirect-opinion',)"
4965,Which is a better and more beneficial course among PGDM and MMS?,()
4966,"Which is better, CA or CS? I am studying in class 11th.","('COMPARISON-course comp-indirect-opinion',)"
4967,what is the fees for an academic year for bca,"('LISTING-Fees-direct-opinion',)"
4968,What is the difference between B.Sc in computer science and B.Tech in computer science?,"('COMPARISON-course comp-indirect-opinion',)"
4969,"I want to pursue B.Arch from IIT. Which exam should I write among NATA, JEE mains and JEE Advanced?",()
4970,What is the best place and coaching institute to prepare for IAS?,"('EXAM-coaching -direct-opinion',)"
4971,How is the placement of Gupta College for B.Pharma?,()
4972,"im an engg. student doing b.tech in electronics and comm. branch ,im in third year and got 84% in first year.im confused that what i should do after b.tech m.tech or mba,and how to prepare for them and which colleges  are good for them  and also have an average fee structure..hoping for quic respons",()
4973,What are the minimum marks required in Uni-Gauge/COMEDK exam to qualify?,"('LISTING-Cut off-indirect-opinion',)"
4974,Is there any kind of GD/PI in ILS? Is there any such process after the CAP rounds?,"('EXAM-GDPI-direct-opinion', 'LISTING-GDPI-direct-opinion')"
4975,When will the admission procedure start for M.Sc. in botany? Will the form filling be done online?,()
4976,i have recently given my 12th exams interested in bca as i have good hold in computers is it the right choice for me to do bca,()
4977,What is CMAT? How many times is it conducted in a year?,()
4978,I have scored 50% in B.Com. Am I eligible to get admission in IIM - A?,"('LISTING-eligibility-direct-factual', 'LISTING-eligibility-direct-opinion')"
4979,for b.tech in computer science what are the minimum requirements means % in class 12 and whats about fees.,()
4980,Can I get admission in any engineering college by qualifying JEE Mains? Is JEE Advanced optional?,()
4981,I cleared JEE Mains but not JEE Advanced should I go for IIT coaching or take from UPTU?,"('EXAM-answer key-direct-factual',)"
4982,"For BAMS course what is total fee, and for MBBS course what is the total fees","('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
4983,What is the eligibility criteria to pursue B.Tech in Canada after completing 12th? I have got 6.5 band in IELTS and 79% in PCM (12th).,()
4984,i am doing 1st year bbm in bangalore university...........may i knw when is the correct time for me to start wit cat courses,()
4985,when will MHCET-2011 exam be held?,()
4986,Is it a good decision to pursue BBA from any college and then prepare for CAT to pursue MBA?,()
4987,"How is ICFAI University, Dehradun for CSE?",()
4988,Which is better? Ms in computer science with bioinformatics or Masters in bioinformatics?,()
4989,I have secured 120 marks in JEE Main 2013. What rank will I be holding and what colleges I am eligible to take admission through this,()
4990,which clg i will get i have got 116obc cut off,"('EXAM-cut off-direct-opinion', 'LISTING-Cut off-direct-factual', 'LISTING-Cut off-direct-opinion')"
4991,How can I prepare for the entrance exam to pursue M.Com from DU after completing my BBA also let me kbow abt syllabus n scope of gtng slcted,()
4992,I have got 30% in CAT and 60% in MHCET....so is any chance to get the admission in your college....?,()
4993,Is it a good college for MBA or not as I have heard that its placements are not that good?,"('LISTING-placements-direct-opinion',)"
4994,what other courses can we do after MPM,()
4995,i got state rank 22000 and i m from delhi...what is the chances of getting admission in dce,()
4996,How many marks are needed in JEE Mains 2017 to get a good NIT?,()
4997,What is the difference between AKTU and UPSEE?,"('COMPARISON-course comp-indirect-opinion',)"
4998,Hello this is shalin...pl suggest me....i have done 12th class in non medical. i have some financal problems in my family. so my parents cant afford my furthure studies....they r forcing me to go for job................and i wnt to build my career in Networking also i have done ccna...,()
4999,I got 100 marks in jee mains and scored 87.6% in cbse board exams. what could be my all india rank.or in which range i could expect?,()
5000,is it advisable to prpare for cat n other competitive exams for a year after my graduation?,()
5001,coaching classes for IES,"('EXAM-coaching -direct-opinion',)"
5002,Which exam and its respective cut off is required for admission to K J Somaiya? How to prepare for it?,()
5003,"When will the release date of M.Sc in food science and technology in Kerala Calicut University, Mallapur be out?",()
5004,How much marks do I need to score to get admission in IIT-Madras?,"('EXAM-scores-direct-opinion', 'LISTING-Cut off-indirect-opinion')"
5005,I got 110 in JEE Mains and 87% in PCM. I have not given any entrance exam &amp; ranking is also not good in JEE Mains. What should I do?,()
5006,Can you suggest some books and online portals that help in the preparation of MBA entrance exams?,"('LISTING-Entrance exam-direct-opinion',)"
5007,what is the admission procedure and last date for submitting forms,"('EXAM-dates-direct-factual', 'EXAM-dates-direct-opinion')"
5008,Which is the best coaching institute in Chandigarh for CS preparation ?,"('EXAM-GDPI-direct-opinion', 'EXAM-coaching -direct-opinion')"
5009,What was the previous years cut-off of BITSAT?,"('LISTING-Cut off-direct-opinion',)"
5010,"Hi, I am interested in Advanced Dip in Creative writing course from SCDL. Can I get a review (apart from what is written in their website) about this course? What is the program fees?",()
5011,Can I apply for admission? I got 68.22 percentile in CAT 2014.I know the cut offs required are 75 percentile.,()
5012,Which one is better among D.Pharma in pharmacy and B.Tech in biotechnology?,"('COMPARISON-course comp-indirect-opinion',)"
5013,I got 92.46 percentile in mat am I eligible for admission I ama b.com graduate,"('LISTING-eligibility-direct-factual',)"
5014,Is Amity University recognised by UGC?,"('LISTING-Affiliation-indirect-factual',)"
5015,Can you suggest any good colleges for GME in India and also the eligibility criteria of the same?,()
5016,between IBMR and SINGARD pune which is much better option for MBA??,"('COMPARISON-course comp-indirect-opinion',)"
5017,Which are the colleges for BPT affiliated to University of Pune?,"('LISTING-Affiliation-direct-factual', 'LISTING-Affiliation-direct-opinion')"
5018,What is the syllabus &amp; exam pattern of CMAT?,"('EXAM-syllabus-direct-factual', 'EXAM-syllabus-direct-opinion')"
5019,when will the entrance exam be conducted??,"('LISTING-Entrance exam-direct-opinion',)"
5020,What should I do to crack NDA 2017?,()
5021,"Hello sir/madam..im ankit. Im persuing my first year engineering from mumbai university. i want to know will it be good if i go for an m.b.a after getting a degree in civil engineering? or should i go for M.E./M.TECH? and if i go for mba, should i start preparing from now? can you suggest me some coaching institutes which prepares well..","('EXAM-coaching -direct-opinion',)"
5022,Do you provide internet facility in the hostel rooms and at the campus?,"('LISTING-hostel-direct-opinion',)"
5023,Am I eligible for this year B.Arch counselling as I have scored 75 marks in NATA last year?,()
5024,What is the approximate cost to study at IIM Bangalore? ,"('LISTING-Fees-indirect-factual',)"
5025,How is the scope for electronics and communication branch?,"('COMPARISON-course comp-indirect-opinion',)"
5026,What is the cut-off of BMS course in Thakur College?,"('LISTING-Cut off-direct-opinion',)"
5027,Which entrance exam can I give for MBA to get a decent college?,"('LISTING-Entrance exam-direct-opinion',)"
5028,Would feb cmat 15 result be considered n what would be the cut off,"('LISTING-Cut off-direct-opinion',)"
5029,Which course is better among MBA in safety management and PG in fire and safety?,"('COMPARISON-course comp-indirect-opinion',)"
5030,Which one is better among UK and USA for girls?,"('COMPARISON-course comp-indirect-opinion',)"
5031,Which are good books for MAT preparation?,"('EXAM-preparation-direct-opinion',)"
5032,"If someone has done 12th from arts,then is the person is eligible for enrolling this course.","('LISTING-eligibility-direct-factual',)"
5033,"Am I eligible for BE / B.Tech? I have done 4 years Diploma in tool and die making in NTTF, but I have supplementary in 5th and 6th semester.",()
5034,How many marks do I need to score to get a seat for CSE in IIT (BHU) and IIT (Dhanbad) in JEE Advanced 2017? I belong to OBC category.,"('LISTING-Cut off-indirect-opinion',)"
5035,When will the registrations start for CS course?,()
5036,"I am currently in class 12th with these subjects (commerce, accounts, economics, English, Hindi) What is better to do BBA or B.Com","('COMPARISON-course comp-indirect-opinion',)"
5037,What is the DCET cut-off for engineering in BMSIT?,"('LISTING-Cut off-direct-opinion',)"
5038,Which is the best new NIT for computer science engineering?,()
5039,when will the admission process start for mba operation for educational year 2013,"('EXAM-dates-indirect-factual',)"
5040,how is the mba programme at alliance university bangalore. need reviews as well as placements. is it worth the money,"('LISTING-placements-direct-opinion',)"
5041,Which college is better for BE in Aeronautical Engineering: MVJCE or NMIT?,"('COMPARISON-College comparison-indirect-factual',)"
5042,How can I manage the preparation of board exams along with JEE?,()
5043,I want to join NCERT diploma in guidance and counselling.I want to know whether the date of application is over.,()
5044,what is fees for 4 year b tech(IT) FEES of Goel group of institution,"('LISTING-Fees-direct-opinion',)"
5045,"What is the last date to fill the application form of IIHM, Delhi?","('EXAM-dates-direct-factual',)"
5046,what is the fee structure for bca admission with hostel?,()
5047,Sir but JEE Mains is not only for nits or iiits but also for many govt. Simple  colleges also .....,()
5048,Can I drop one year and can get admission next year in any university like LPU?,()
5049,Which are the top private colleges in India to pursue 5-year integrated LLB (B.Com+LLB)?,()
5050,how is fostiima placements. is there 100% placement for finance. what is its avg package.,"('LISTING-placements-direct-factual', 'LISTING-placements-direct-opinion')"
5051,to which university is jims affiliated?,"('LISTING-Affiliation-direct-factual',)"
5052,What is the difference between computer science engineering and electronics and computer engineering?,"('COMPARISON-course comp-direct-opinion',)"
5053,Are B.Com (Hons) and B.Com in international accounting and finance different? Which one is better to pursue along with CA?,"('COMPARISON-course comp-indirect-opinion',)"
5054,where is   the  institute  for  the preparation of  UPSE  examination and date  of  exam and center of  exam?,()
5055,"i have got 62.5 percentile in xat ,am i eligible for xime.","('LISTING-eligibility-direct-factual',)"
5056,Howmuch cutoff is required for MHT-CET?,"('EXAM-cut off-direct-opinion',)"
5057,Is it possible for class 11th students fill JEE Mains form?,()
5058,is it degree offered by correspondence by this institute is recognised by AICTE?,"('LISTING-Affiliation-indirect-factual',)"
5059,need details of aptitude test for admission.,()
5060,WHICH IS THE BEST COACHING INSTITUTE FOR CIVIL SERVICES EXAMINATION OF PHILOSHOPHY AND PUBLIC ADMINISTRATION,"('EXAM-coaching -direct-opinion',)"
5061,Can I get good salary package as compared to my friends after completing CSE from LPU?,()
5062,Which is the best college for BBA in India except for Christ University?,"('COMPARISON-College comparison-direct-opinion',)"
5063,what are the placement record of iift after BSc  in fashion and apparel designing??,()
5064,I am currently in the 4th sem of B.Tech (ME) &amp; want to pursue my studies from 6th sem in the USA. Is it possible for a transfer student?,()
5065,When will the entrance exam be conducted in your college? I had passed 12th this year. What will be the timing of the college?,"('LISTING-Entrance exam-direct-opinion',)"
5066,Which course shall I pursue for a better career among Diploma and B.Sc. degree in animation and multimedia?,"('COMPARISON-course comp-indirect-opinion',)"
5067,sir tell me about the placement record of this college and what is the minimum packaged,"('LISTING-placements-direct-factual', 'LISTING-placements-direct-opinion')"
5068,when will admission process start?,"('EXAM-counseling-direct-factual', 'EXAM-dates-indirect-factual', 'LISTING-Counselling-direct-factual', 'LISTING-Counselling-direct-opinion')"
